名前,モンスター,出現階層
たびだち,スライム,1-4
たびだち,ドラキー,1-4
たびだち,アントベア,1-4
まちびと,きりかぶおばけ,1-4
まちびと,キリキリバッタ,1-4
まちびと,アントベア,1-2
まちびと,ピッキー,1-2
まちびと,グレムリン,3-4
まちびと,ファーラット,3-4
まもり,ゴースト,1-5
まもり,ぐんたいアリ,1-5
まもり,アントベア,1-2
まもり,コドラ,1-2
まもり,マドハンド,3-5
まもり,ピッキー,3-5
おもいで,キャタピラー,1-4
おもいで,マドハンド,1-2
おもいで,ファーラット,1-2
おもいで,ドラゴンキッズ,1-2
おもいで,ピッキー,3-4
おもいで,フェアリーラット,3-4
おもいで,ぶちスライム,3-4
とまどい,ぶちスライム,1-5
とまどい,コドラ,1-2
とまどい,おおにわとり,1-2
とまどい,ドラゴンキッズ,1-2
とまどい,エビルシード,3-5
とまどい,ベビーサタン,3-5
とまどい,くさったしたい,3-5
バザー(炎),おおにわとり,1-5
バザー(炎),フェアリーラット,1-2
バザー(炎),ぶちスライム,1-2
バザー(炎),とさかへび,1-2
バザー(炎),キャラピラー,3-8
バザー(炎),ドラゴンキッズ,3-5
バザー(炎),ビーンファイター,3-5
バザー(炎),ベビーサタン,6-8
バザー(炎),くさったしたい,6-8
バザー(炎),ひとつめピエロ,6-8
やすらぎ,とさかへび,1-7
やすらぎ,おおにわとり,1-3
やすらぎ,ぶちスライム,1-3
やすらぎ,ネジまきどり,1-3
やすらぎ,アルミラージ,4-7
やすらぎ,ドラゴンキッズ,4-5
やすらぎ,ボーンプリズナー,4-5
やすらぎ,ひとくいサーベル,6-7
やすらぎ,あばれうしどり,6-7
ゆうき,ビーンファイター,1-8
ゆうき,はなまどう,1-8
ゆうき,ベビーサタン,1-3
ゆうき,ひとつめピエロ,1-3
ゆうき,おおみみず,4-8
ゆうき,あばれうしどり,6-8
井戸,はなまどう,1-11
井戸,おおなめくじ,1-5
井戸,アルミラージ,1-5
井戸,ボーンプリズナー,1-3
井戸,スライムツリー,4-5
井戸,おおみみず,6-8
井戸,あばれうしどり,9-11
井戸,ひとくいサーベル,9-11
井戸,メタルスライム,9-11
いかり,キャットフライ,1-10
いかり,ポイズンリザード,1-8
いかり,おおなめくじ,1-5
いかり,おおみみず,1-3
いかり,メーダ,4-10
いかり,アニマルゾンビ,6-10
いかり,ドラゴスライム,9-10
ちから,スライムツリー,"1-3,6-10"
ちから,フェアリードラゴン,"1-5,8-10"
ちから,スカルライダー,1-8
ちから,どろにんぎょう,1-5
ちから,ふゆうじゅ,4-10
ちから,ドラゴスライム,6-10
牧場右上,スカルガルー,1-11
牧場右上,デスフラッター,1-8
牧場右上,フェアリードラゴン,1-5
牧場右上,じんめんちょう,1-3
牧場右上,マッドロン,"4-5,9-11"
牧場右上,ドラゴスライム,6-11
牧場右上,トーテムキラー,6-11
よろこび,デッドペッカー,1-8
よろこび,ミノーン,1-12
よろこび,ガップリン,1-8
よろこび,スライムつむり,1-5
よろこび,おおめだま,6-13
よろこび,バブルスライム,9-13
よろこび,マミー,9-13
ちえ,ベロゴン,1-14
ちえ,はなカワセミ,1-14
ちえ,プテラノドン,1-14
ちえ,トーテムキラー,1-5
ちえ,よろいムカデ,6-14
格闘場(左),キラースコップ,1-15
格闘場(左),おばけキャンドル,1-12
格闘場(左),メドーサボール,1-8
格闘場(左),はねスライム,1-5
格闘場(左),スラッピー,6-15
格闘場(左),かまいたち,9-15
格闘場(左),フーセンドラゴン,13-15
しあわせ,せみもぐら,1-17
しあわせ,ピクシー,1-16
しあわせ,オニオーン,1-12
しあわせ,フーセンドラゴン,1-4
しあわせ,しりょうのきし,5-17
しあわせ,ガンコどり,13-17
しあわせ,とげぼうず,17
さそい,スライムナイト,1-19
さそい,キングコブラ,1-16
さそい,ももんじゃ,1-12
さそい,とげぼうず,1-8
さそい,はさみくわがた,9-19
さそい,ミストウィング,13-19
さそい,ダークアイ,17-19
メダルおじさん,ボックススライム,1-18
メダルおじさん,オーク,1-18
メダルおじさん,ギズモ,1-8
メダルおじさん,ナイトウィプス,1-5
メダルおじさん,さまようよろい,6-18
メダルおじさん,しにがみ,9-18
まよい,ストーンスライム,1-22
まよい,ギズモ,1-22
まよい,サボテンボール,1-20
まよい,テールイーター,"1-10,16-20"
まよい,おおイグアナ,1-5
まよい,ダックカイト,6-22
まよい,シルバーデビル,11-22
まよい,ウィンドマージ,21-22
さばき,キラーグース,"1-10,21-24"
さばき,おおきづち,1-24
さばき,ぶちキング,1-24
さばき,ヘルボックル,1-20
